"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R23,R17,R20,R3,R19,R6,R1,R21,R8,R7,R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";11;"1K";;;
2;"SPD/TOT1";"DG30825403P1400AH";1;"JP9";;;
3;"C1,C2";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"100nF";;;
4;"R24,R10,R11,R16";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"10K";;;
5;"R4,R22,R25,R2,R26";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"2K2";;;
6;"12V1";"DG30825403P1400AH";1;"JP4";;;
7;"CUR1";"DG30825403P1400AH";1;"JP6";;;
8;"R15";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"4k7";;;
9;"TIN1";"DG30825403P1400AH";1;"J10";;;
10;"U5";"3V3 Step-Down";1;"Step-down 3V3";;;
11;"SW2,SW1";"SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm";2;"SW_DIP_x02";;;
12;"R13,R14";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"75k";;;
13;"C3,C4";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"10nF";;;
14;"3V3";"DG30825402P1400AH";1;"JP3";;;
15;"U2";"MCP7525";1;"MCP4725";;;
16;"R12,R9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"100K";;;
17;"R18";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"22K";;;
18;"PAS1";"DG30825403P1400AH";1;"J11";;;
19;"BRK/TMP1";"DG30825403P1400AH";1;"J12";;;
20;"U1";"STM32F411CEU6_BLACKPILL";1;"STM32F411CEU6_BLACKPILL";;;
21;"SCR2";"DG30825403P1400AH";1;"JP8";;;
22;"VIN1";"DG30825403P1400AH";1;"JP5";;;
23;"C5";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"1nF";;;
24;"U4";"5V Step-Down";1;"Step-down 5V";;;
25;"3V3/TS1";"DG30825403P1400AH";1;"J13";;;
26;"SCR1";"DG30825403P1400AH";1;"JP7";;;
27;"UART1";"DG30825402P1400AH";1;"JP2";;;
28;"U3";"12V Step-Down";1;"Step-down 12V";;;
29;"SW3";"DG30825402P1400AH";1;"JP1";;;
