Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",107.500000,-75.250000,-90.000000,top
"C2","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",112.500000,-81.500000,-90.000000,top
"J1","XT60PW-F","XT60PWF",131.149999,-90.299997,180.000000,top
"J2","XT60PW-M","XT60PWM",124.100000,-63.962500,0.000000,top
"J3","BAT+","HOLE",115.250000,-90.100000,0.000000,top
"J4","VCC","HOLE",111.000000,-84.600000,0.000000,top
"J5","GND","HOLE",110.750000,-79.600000,0.000000,top
"J6","OUT","HOLE",115.250000,-84.600000,0.000000,top
"J7","BAT-","HOLE",111.000000,-90.100000,0.000000,top
"J8","SHD","HOLE",115.250000,-79.600000,0.000000,top
"R2","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",109.750000,-80.500000,180.000000,top
"U1","ACS758xCB-050B-PFF","Allegro_CB_PFF",112.425000,-74.099999,-90.000000,top
