Ref,Val,Package,PosX,PosY,Rot,Side
"3V3/TS1","J13","DG30825403P1400AH",228.000000,-123.250000,0.000000,top
"5V1","JP3","DG30825402P1400AH",128.270000,-123.250000,0.000000,top
"12V1","JP4","DG30825403P1400AH",135.750000,-123.250000,0.000000,top
"A1","Arduino_Nano","Arduino_Nano",191.200002,-94.860001,90.000000,top
"BRK/TMP1","J12","DG30825403P1400AH",217.750000,-123.250000,0.000000,top
"CUR1","JP6","DG30825403P1400AH",156.250000,-123.250000,0.000000,top
"D1","SM4007","D_MELF",135.500000,-99.500000,0.000000,top
"J1","UART","TerminalBlock_Xinya_XY308-2.54-6P_1x06_P2.54mm_Horizontal",143.717497,-112.099999,90.000000,top
"J2","SPI","TerminalBlock_Xinya_XY308-2.54-6P_1x06_P2.54mm_Horizontal",233.599999,-100.282504,180.000000,top
"J3","D9","HOLE",217.250000,-97.300000,0.000000,top
"J4","D4","HOLE",206.250000,-99.050000,0.000000,top
"J5","A2","HOLE",218.750000,-71.050000,0.000000,top
"J6","PAS2","HOLE",210.000000,-109.800000,0.000000,top
"J7","TIN","HOLE",179.560000,-97.860000,0.000000,top
"J8","BAT","HOLE",178.350000,-103.550000,0.000000,top
"J9","CUR","HOLE",171.150000,-108.920000,0.000000,top
"J10","TO","HOLE",207.380000,-103.480000,0.000000,top
"PAS1","J11","DG30825403P1400AH",207.500000,-123.250000,0.000000,top
"R5","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",211.500000,-98.500000,-90.000000,top
"R6","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",214.000000,-98.500000,-90.000000,top
"R9","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",201.250000,-99.250000,-90.000000,top
"R10","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",201.250000,-103.750000,90.000000,top
"R11","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",187.500000,-112.000000,-90.000000,top
"R12","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",192.250000,-112.000000,-90.000000,top
"R13","75k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",166.500000,-111.500000,0.000000,top
"R14","75k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",170.250000,-108.750000,90.000000,top
"R15","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",166.250000,-107.000000,-90.000000,top
"R16","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",215.700000,-108.800000,180.000000,top
"R17","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",233.000003,-111.699994,180.000000,top
"R18","2.2K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",233.000000,-108.750000,180.000000,top
"R19","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",156.750000,-111.000000,-90.000000,top
"R20","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",160.250000,-111.000000,-90.000000,top
"R21","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",184.500000,-86.000000,-90.000000,top
"R22","2K2","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",184.500000,-91.500000,-90.000000,top
