Designator,Mid X,Mid Y,Layer,Rotation
C101,12.570,13.660,Top,0
C201,35.070,13.660,Top,0
C301,57.570,13.660,Top,0
C401,12.570,24.160,Top,0
C501,35.070,24.160,Top,0
C601,57.570,24.160,Top,0
C102,11.860,16.500,Top,90
C202,34.360,16.500,Top,90
C302,56.860,16.500,Top,90
C402,11.860,27.000,Top,90
C502,34.360,27.000,Top,90
C602,56.860,27.000,Top,90
R101,13.370,16.500,Top,90
R201,35.870,16.500,Top,90
R301,58.370,16.500,Top,90
R401,13.370,27.000,Top,90
R501,35.870,27.000,Top,90
R601,58.370,27.000,Top,90
